fold,subtype,scheme,test_n,ibs,dcal_p
0,amp1q,pooled,67,0.1772,0.9926
0,amp1q,real,67,0.1748,0.9997
0,amp1q,scramble,67,0.179,0.9421
0,del1p,pooled,25,0.1234,1.0
0,del1p,real,25,0.1355,0.9972
0,del1p,scramble,25,0.1351,0.997
0,del13q,pooled,94,0.1472,0.9979
0,del13q,real,94,0.1337,0.999
0,del13q,scramble,94,0.1593,0.9999
0,del17p,pooled,20,0.1618,0.9734
0,del17p,real,20,0.1474,0.976
0,del17p,scramble,20,0.2173,0.6887
0,hyperdiploid,pooled,114,0.1363,0.9977
0,hyperdiploid,real,114,0.1377,0.997
0,hyperdiploid,scramble,114,0.1458,0.9999
1,amp1q,pooled,58,0.1732,0.5703
1,amp1q,real,58,0.1721,0.7888
1,amp1q,scramble,58,0.1735,0.9989
1,del1p,pooled,32,0.1602,0.9478
1,del1p,real,32,0.174,0.9978
1,del1p,scramble,32,0.1517,0.9866
1,del13q,pooled,94,0.1786,0.6663
1,del13q,real,94,0.1825,0.6528
1,del13q,scramble,94,0.1729,0.3466
1,del17p,pooled,19,0.2408,0.8267
1,del17p,real,19,0.2235,0.6231
1,del17p,scramble,19,0.2215,0.8857
1,hyperdiploid,pooled,121,0.1348,0.532
1,hyperdiploid,real,121,0.1344,0.5433
1,hyperdiploid,scramble,121,0.1381,0.6087
2,amp1q,pooled,68,0.1058,0.9858
2,amp1q,real,68,0.1052,0.9914
2,amp1q,scramble,68,0.1078,0.9965
2,del1p,pooled,27,0.1654,0.8949
2,del1p,real,27,0.1778,0.8838
2,del1p,scramble,27,0.1827,0.8922
2,del13q,pooled,92,0.1228,0.997
2,del13q,real,92,0.1218,0.9955
2,del13q,scramble,92,0.1269,0.9957
2,del17p,pooled,33,0.1772,0.9584
2,del17p,real,33,0.1699,0.8822
2,del17p,scramble,33,0.1852,0.9895
2,hyperdiploid,pooled,116,0.1043,1.0
2,hyperdiploid,real,116,0.1053,1.0
2,hyperdiploid,scramble,116,0.1033,1.0
3,amp1q,pooled,76,0.1156,0.9931
3,amp1q,real,76,0.1038,0.9941
3,amp1q,scramble,76,0.1059,0.9995
3,del1p,pooled,47,0.2088,0.8468
3,del1p,real,47,,0.9172
3,del1p,scramble,47,0.2054,0.6148
3,del13q,pooled,98,0.1299,0.9999
3,del13q,real,98,0.1379,0.9998
3,del13q,scramble,98,0.1278,0.9997
3,del17p,pooled,29,0.1852,0.9987
3,del17p,real,29,0.1203,0.9972
3,del17p,scramble,29,0.1472,0.9987
3,hyperdiploid,pooled,108,0.1359,0.9926
3,hyperdiploid,real,108,0.135,0.9972
3,hyperdiploid,scramble,108,0.1589,1.0
4,amp1q,pooled,66,0.1575,0.9917
4,amp1q,real,66,0.16,0.9989
4,amp1q,scramble,66,0.1426,0.9954
4,del1p,pooled,26,0.1686,0.9364
4,del1p,real,26,0.178,0.9371
4,del1p,scramble,26,0.1723,0.6445
4,del13q,pooled,96,0.1369,0.8745
4,del13q,real,96,0.1388,0.6834
4,del13q,scramble,96,0.1309,0.9651
4,del17p,pooled,16,0.1095,0.9389
4,del17p,real,16,0.091,0.8191
4,del17p,scramble,16,0.1261,0.4692
4,hyperdiploid,pooled,108,0.129,0.9997
4,hyperdiploid,real,108,0.129,1.0
4,hyperdiploid,scramble,108,0.129,1.0
