split,comparison,delta_cindex
0,+omics vs clinical,0.059688
0,+cyto+omics vs clinical,0.057653
1,+omics vs clinical,0.022918
1,+cyto+omics vs clinical,0.023826
2,+omics vs clinical,0.043132
2,+cyto+omics vs clinical,0.048576
3,+omics vs clinical,0.056069
3,+cyto+omics vs clinical,0.057074
4,+omics vs clinical,0.036845
4,+cyto+omics vs clinical,0.040151
5,+omics vs clinical,0.098568
5,+cyto+omics vs clinical,0.102359
6,+omics vs clinical,0.078475
6,+cyto+omics vs clinical,0.082063
7,+omics vs clinical,0.104883
7,+cyto+omics vs clinical,0.09448
8,+omics vs clinical,0.051379
8,+cyto+omics vs clinical,0.054938
9,+omics vs clinical,0.053095
9,+cyto+omics vs clinical,0.051376
10,+omics vs clinical,0.066936
10,+cyto+omics vs clinical,0.057502
11,+omics vs clinical,0.136494
11,+cyto+omics vs clinical,0.140022
12,+omics vs clinical,0.072894
12,+cyto+omics vs clinical,0.071803
13,+omics vs clinical,0.040737
13,+cyto+omics vs clinical,0.036836
14,+omics vs clinical,0.134256
14,+cyto+omics vs clinical,0.131257
15,+omics vs clinical,0.085514
15,+cyto+omics vs clinical,0.089981
16,+omics vs clinical,0.040775
16,+cyto+omics vs clinical,0.018494
17,+omics vs clinical,0.0131
17,+cyto+omics vs clinical,0.006449
18,+omics vs clinical,0.083589
18,+cyto+omics vs clinical,0.082565
19,+omics vs clinical,0.12602
19,+cyto+omics vs clinical,0.116574
20,+omics vs clinical,-0.049978
20,+cyto+omics vs clinical,-0.062249
21,+omics vs clinical,0.105108
21,+cyto+omics vs clinical,0.0958
22,+omics vs clinical,0.027189
22,+cyto+omics vs clinical,0.025048
23,+omics vs clinical,0.002144
23,+cyto+omics vs clinical,0.02001
24,+omics vs clinical,0.066757
24,+cyto+omics vs clinical,0.055442
25,+omics vs clinical,0.020989
25,+cyto+omics vs clinical,0.003731
26,+omics vs clinical,0.066146
26,+cyto+omics vs clinical,0.068315
27,+omics vs clinical,0.078274
27,+cyto+omics vs clinical,0.074716
28,+omics vs clinical,0.11205
28,+cyto+omics vs clinical,0.102948
29,+omics vs clinical,0.046036
29,+cyto+omics vs clinical,0.047663
30,+omics vs clinical,0.02651
30,+cyto+omics vs clinical,0.027162
31,+omics vs clinical,-0.012449
31,+cyto+omics vs clinical,-0.038479
32,+omics vs clinical,0.138445
32,+cyto+omics vs clinical,0.134244
33,+omics vs clinical,0.087264
33,+cyto+omics vs clinical,0.086017
34,+omics vs clinical,0.000434
34,+cyto+omics vs clinical,-0.004779
35,+omics vs clinical,0.039627
35,+cyto+omics vs clinical,0.038032
36,+omics vs clinical,0.110774
36,+cyto+omics vs clinical,0.110991
37,+omics vs clinical,0.045914
37,+cyto+omics vs clinical,0.043058
38,+omics vs clinical,-0.030972
38,+cyto+omics vs clinical,-0.025507
39,+omics vs clinical,0.075639
39,+cyto+omics vs clinical,0.070004
40,+omics vs clinical,0.084285
40,+cyto+omics vs clinical,0.080174
41,+omics vs clinical,0.075736
41,+cyto+omics vs clinical,0.085685
42,+omics vs clinical,0.09041
42,+cyto+omics vs clinical,0.083169
43,+omics vs clinical,0.078626
43,+cyto+omics vs clinical,0.080734
44,+omics vs clinical,0.048401
44,+cyto+omics vs clinical,0.05229
45,+omics vs clinical,0.090889
45,+cyto+omics vs clinical,0.080286
46,+omics vs clinical,0.077469
46,+cyto+omics vs clinical,0.073711
47,+omics vs clinical,0.013648
47,+cyto+omics vs clinical,0.016248
48,+omics vs clinical,0.021296
48,+cyto+omics vs clinical,0.013194
49,+omics vs clinical,0.032869
49,+cyto+omics vs clinical,0.024162
