split,feature_set,test_cindex,n_test,events_test
0,clinical,0.723039,182,38
0,clinical+cyto,0.735021,182,38
0,clinical+omics,0.782727,182,38
0,clinical+cyto+omics,0.780692,182,38
1,clinical,0.720672,182,38
1,clinical+cyto,0.744724,182,38
1,clinical+omics,0.74359,182,38
1,clinical+cyto+omics,0.744497,182,38
2,clinical,0.633794,182,38
2,clinical+cyto,0.673576,182,38
2,clinical+omics,0.676926,182,38
2,clinical+cyto+omics,0.68237,182,38
3,clinical,0.70418,182,38
3,clinical+cyto,0.735129,182,38
3,clinical+omics,0.760249,182,38
3,clinical+cyto+omics,0.761254,182,38
4,clinical,0.649268,182,38
4,clinical+cyto,0.694143,182,38
4,clinical+omics,0.686112,182,38
4,clinical+cyto+omics,0.689419,182,38
5,clinical,0.689764,182,38
5,clinical+cyto,0.735468,182,38
5,clinical+omics,0.788332,182,38
5,clinical+cyto+omics,0.792123,182,38
6,clinical,0.652915,182,38
6,clinical+cyto,0.679596,182,38
6,clinical+omics,0.73139,182,38
6,clinical+cyto+omics,0.734978,182,38
7,clinical,0.662633,182,38
7,clinical+cyto,0.700637,182,38
7,clinical+omics,0.767516,182,38
7,clinical+cyto+omics,0.757113,182,38
8,clinical,0.649244,182,38
8,clinical+cyto,0.701512,182,38
8,clinical+omics,0.700623,182,38
8,clinical+cyto+omics,0.704181,182,38
9,clinical,0.674119,182,38
9,clinical+cyto,0.711952,182,38
9,clinical+omics,0.727214,182,38
9,clinical+cyto+omics,0.725494,182,38
10,clinical,0.698113,182,38
10,clinical+cyto,0.72327,182,38
10,clinical+omics,0.765049,182,38
10,clinical+cyto+omics,0.755615,182,38
11,clinical,0.591841,182,38
11,clinical+cyto,0.63484,182,38
11,clinical+omics,0.728335,182,38
11,clinical+cyto+omics,0.731863,182,38
12,clinical,0.585989,182,38
12,clinical+cyto,0.613706,182,38
12,clinical+omics,0.658883,182,38
12,clinical+cyto+omics,0.657791,182,38
13,clinical,0.71441,182,38
13,clinical+cyto,0.731744,182,38
13,clinical+omics,0.755146,182,38
13,clinical+cyto+omics,0.751246,182,38
14,clinical,0.619839,182,38
14,clinical+cyto,0.663668,182,38
14,clinical+omics,0.754095,182,38
14,clinical+cyto+omics,0.751096,182,38
15,clinical,0.63327,182,38
15,clinical+cyto,0.697511,182,38
15,clinical+omics,0.718783,182,38
15,clinical+cyto+omics,0.72325,182,38
16,clinical,0.71836,182,38
16,clinical+cyto,0.704768,182,38
16,clinical+omics,0.759135,182,38
16,clinical+cyto+omics,0.736854,182,38
17,clinical,0.740629,182,38
17,clinical+cyto,0.733978,182,38
17,clinical+omics,0.753728,182,38
17,clinical+cyto+omics,0.747078,182,38
18,clinical,0.666462,182,38
18,clinical+cyto,0.709281,182,38
18,clinical+omics,0.750051,182,38
18,clinical+cyto+omics,0.749027,182,38
19,clinical,0.678188,182,38
19,clinical+cyto,0.725204,182,38
19,clinical+omics,0.804208,182,38
19,clinical+cyto+omics,0.794762,182,38
20,clinical,0.790495,182,38
20,clinical+cyto,0.766622,182,38
20,clinical+omics,0.740518,182,38
20,clinical+cyto+omics,0.728246,182,38
21,clinical,0.627696,182,38
21,clinical+cyto,0.660613,182,38
21,clinical+omics,0.732804,182,38
21,clinical+cyto+omics,0.723496,182,38
22,clinical,0.716763,182,38
22,clinical+cyto,0.736673,182,38
22,clinical+omics,0.743952,182,38
22,clinical+cyto+omics,0.741811,182,38
23,clinical,0.699142,182,38
23,clinical+cyto,0.731777,182,38
23,clinical+omics,0.701286,182,38
23,clinical+cyto+omics,0.719152,182,38
24,clinical,0.67685,182,38
24,clinical+cyto,0.694501,182,38
24,clinical+omics,0.743607,182,38
24,clinical+cyto+omics,0.732292,182,38
25,clinical,0.644823,182,38
25,clinical+cyto,0.621735,182,38
25,clinical+omics,0.665812,182,38
25,clinical+cyto+omics,0.648554,182,38
26,clinical,0.657558,182,38
26,clinical+cyto,0.695077,182,38
26,clinical+omics,0.723704,182,38
26,clinical+cyto+omics,0.725873,182,38
27,clinical,0.711808,182,38
27,clinical+cyto,0.748277,182,38
27,clinical+omics,0.790082,182,38
27,clinical+cyto+omics,0.786524,182,38
28,clinical,0.680971,182,38
28,clinical+cyto,0.710446,182,38
28,clinical+omics,0.793021,182,38
28,clinical+cyto+omics,0.783919,182,38
29,clinical,0.629389,182,38
29,clinical+cyto,0.661939,182,38
29,clinical+omics,0.675424,182,38
29,clinical+cyto+omics,0.677052,182,38
30,clinical,0.690569,182,38
30,clinical+cyto,0.689483,182,38
30,clinical+omics,0.71708,182,38
30,clinical+cyto+omics,0.717731,182,38
31,clinical,0.718877,182,38
31,clinical+cyto,0.688094,182,38
31,clinical+omics,0.706428,182,38
31,clinical+cyto+omics,0.680398,182,38
32,clinical,0.632983,182,38
32,clinical+cyto,0.677731,182,38
32,clinical+omics,0.771429,182,38
32,clinical+cyto+omics,0.767227,182,38
33,clinical,0.719302,182,38
33,clinical+cyto,0.741741,182,38
33,clinical+omics,0.806566,182,38
33,clinical+cyto+omics,0.805319,182,38
34,clinical,0.684771,182,38
34,clinical+cyto,0.655659,182,38
34,clinical+omics,0.685205,182,38
34,clinical+cyto+omics,0.679991,182,38
35,clinical,0.667274,182,38
35,clinical+cyto,0.688909,182,38
35,clinical+omics,0.7069,182,38
35,clinical+cyto+omics,0.705306,182,38
36,clinical,0.562324,182,38
36,clinical+cyto,0.625406,182,38
36,clinical+omics,0.673098,182,38
36,clinical+cyto+omics,0.673315,182,38
37,clinical,0.64609,182,38
37,clinical+cyto,0.670694,182,38
37,clinical+omics,0.692004,182,38
37,clinical+cyto+omics,0.689148,182,38
38,clinical,0.699157,182,38
38,clinical+cyto,0.708495,182,38
38,clinical+omics,0.668185,182,38
38,clinical+cyto+omics,0.673651,182,38
39,clinical,0.653879,182,38
39,clinical+cyto,0.670351,182,38
39,clinical+omics,0.729519,182,38
39,clinical+cyto+omics,0.723884,182,38
40,clinical,0.682047,182,38
40,clinical+cyto,0.71471,182,38
40,clinical+omics,0.766332,182,38
40,clinical+cyto+omics,0.76222,182,38
41,clinical,0.622538,182,38
41,clinical+cyto,0.663959,182,38
41,clinical+omics,0.698274,182,38
41,clinical+cyto+omics,0.708223,182,38
42,clinical,0.704411,182,38
42,clinical+cyto,0.720869,182,38
42,clinical+omics,0.794821,182,38
42,clinical+cyto+omics,0.78758,182,38
43,clinical,0.639545,182,38
43,clinical+cyto,0.679174,182,38
43,clinical+omics,0.71817,182,38
43,clinical+cyto+omics,0.720278,182,38
44,clinical,0.679991,182,38
44,clinical+cyto,0.695981,182,38
44,clinical+omics,0.728392,182,38
44,clinical+cyto+omics,0.732282,182,38
45,clinical,0.649643,182,38
45,clinical+cyto,0.689245,182,38
45,clinical+omics,0.740532,182,38
45,clinical+cyto+omics,0.729929,182,38
46,clinical,0.675506,182,38
46,clinical+cyto,0.707037,182,38
46,clinical+omics,0.752976,182,38
46,clinical+cyto+omics,0.749217,182,38
47,clinical,0.691075,182,38
47,clinical+cyto,0.69649,182,38
47,clinical+omics,0.704723,182,38
47,clinical+cyto+omics,0.707322,182,38
48,clinical,0.684259,182,38
48,clinical+cyto,0.699537,182,38
48,clinical+omics,0.705556,182,38
48,clinical+cyto+omics,0.697454,182,38
49,clinical,0.714628,182,38
49,clinical+cyto,0.70788,182,38
49,clinical+omics,0.747497,182,38
49,clinical+cyto+omics,0.73879,182,38
