model,decile,n,pred_event_prob,observed_event_prob
clinical,1,19,0.0899,0.0
clinical,2,19,0.1115,0.0556
clinical,3,18,0.1263,0.0769
clinical,4,18,0.1427,0.0
clinical,5,18,0.1562,0.2892
clinical,6,18,0.1715,0.0588
clinical,7,18,0.1884,0.15
clinical,8,18,0.2176,0.2917
clinical,9,18,0.2648,0.3464
clinical,10,18,0.3341,0.3333
clinical+cytogenetics,1,19,0.0728,0.0
clinical+cytogenetics,2,19,0.0981,0.0
clinical+cytogenetics,3,18,0.1198,0.1
clinical+cytogenetics,4,18,0.1405,0.0
clinical+cytogenetics,5,18,0.1581,0.1863
clinical+cytogenetics,6,18,0.1826,0.1185
clinical+cytogenetics,7,18,0.2051,0.3254
clinical+cytogenetics,8,18,0.2331,0.2513
clinical+cytogenetics,9,18,0.2753,0.1948
clinical+cytogenetics,10,18,0.375,0.4074
clinical+omics,1,19,0.0587,0.0
clinical+omics,2,19,0.0808,0.0
clinical+omics,3,18,0.0965,0.0769
clinical+omics,4,18,0.1134,0.0833
clinical+omics,5,18,0.135,0.1333
clinical+omics,6,18,0.1581,0.0588
clinical+omics,7,18,0.1831,0.1778
clinical+omics,8,18,0.2191,0.2381
clinical+omics,9,18,0.2967,0.416
clinical+omics,10,18,0.5354,0.4074
clinical+cytogenetics+omics,1,19,0.0549,0.0
clinical+cytogenetics+omics,2,19,0.0767,0.0
clinical+cytogenetics+omics,3,18,0.0956,0.0
clinical+cytogenetics+omics,4,18,0.1156,0.1295
clinical+cytogenetics+omics,5,18,0.1386,0.1538
clinical+cytogenetics+omics,6,18,0.1612,0.1176
clinical+cytogenetics+omics,7,18,0.1869,0.1987
clinical+cytogenetics+omics,8,18,0.2232,0.1704
clinical+cytogenetics+omics,9,18,0.3082,0.3409
clinical+cytogenetics+omics,10,18,0.5403,0.4667
clinical+programs,1,19,0.0513,0.0
clinical+programs,2,19,0.0736,0.0
clinical+programs,3,18,0.0958,0.1185
clinical+programs,4,18,0.1189,0.0833
clinical+programs,5,18,0.1432,0.0
clinical+programs,6,18,0.1604,0.123
clinical+programs,7,18,0.1791,0.2103
clinical+programs,8,18,0.2192,0.1795
clinical+programs,9,18,0.3038,0.2778
clinical+programs,10,18,0.4705,0.5
clinical+cytogenetics+programs,1,19,0.0483,0.0
clinical+cytogenetics+programs,2,19,0.0717,0.0
clinical+cytogenetics+programs,3,18,0.0968,0.0667
clinical+cytogenetics+programs,4,18,0.1218,0.123
clinical+cytogenetics+programs,5,18,0.1414,0.0667
clinical+cytogenetics+programs,6,18,0.1649,0.2143
clinical+cytogenetics+programs,7,18,0.1885,0.0
clinical+cytogenetics+programs,8,18,0.2222,0.2434
clinical+cytogenetics+programs,9,18,0.3048,0.2889
clinical+cytogenetics+programs,10,18,0.4773,0.5
