feature,beta,abs_std_contribution
PC1,0.2818418611540555,0.27213865789171027
PC6,-0.20336073642673327,0.19988770046334384
PC3,0.20186191534990497,0.19935340811100563
PC4,0.13894367959567752,0.13810045444001437
PC14,0.13591919654785267,0.13498947206200596
PC8,0.12686471975222885,0.1263734457391484
amp1q,0.1057747473659663,0.10348739928137464
PC10,-0.10169806368748825,0.1005354501768284
PC7,-0.09512616316044599,0.09376016795240176
PC11,0.08716933216472805,0.08926501764016675
PC12,-0.07922018393683086,0.078569858675562
del1p,0.06490704281283712,0.0671316584059065
PC15,0.05424626069610851,0.053711511823537714
PC16,0.05397660270448734,0.05298724672827753
PC9,0.039196864737786406,0.038803688719475975
t_4_14,0.03144169277146818,0.03121603401097864
del13q,0.02579790320430891,0.025670262554778125
PC2,0.02462269684702939,0.024689967107998992
PC5,-0.021802314059479622,0.02171815817329091
t_11_14,0.017585041308173493,0.01743821218364811
hyperdiploid,0.013812979297762968,0.013656191251889155
del17p,0.011696697427150855,0.01166169205583652
PC13,0.010945983624985656,0.010799626616527586
