comparison,k,n_folds,mean_delta_cindex,sd,ci_low,ci_high,frac_folds_positive
clinical+omics_infold_vs_clinical,8,5,0.0668,0.0155,0.0414,0.0816,1.0
clinical+omics_infold_vs_clinical,16,5,0.0667,0.0286,0.0175,0.0912,1.0
clinical+omics_infold_vs_clinical,32,5,0.0596,0.0315,0.0043,0.081,0.8
clinical+omics_infold_vs_clinical,64,5,0.0493,0.029,0.0008,0.0758,0.8
clinical+omics_infold_vs_precomp,8,5,-0.0033,0.0039,-0.0089,0.0022,0.2
clinical+omics_infold_vs_precomp,16,5,-0.0014,0.0023,-0.0042,0.0021,0.2
clinical+omics_infold_vs_precomp,32,5,0.0032,0.0054,-0.0041,0.01,0.6
clinical+omics_infold_vs_precomp,64,5,0.0228,0.0164,-0.0027,0.0395,0.8
clinical+cyto+omics_infold_vs_clinical,8,5,0.0648,0.0235,0.0281,0.0906,1.0
clinical+cyto+omics_infold_vs_clinical,16,5,0.0595,0.0344,0.0004,0.0911,0.8
clinical+cyto+omics_infold_vs_clinical,32,5,0.0551,0.0363,-0.0085,0.0804,0.8
clinical+cyto+omics_infold_vs_clinical,64,5,0.0514,0.0328,-0.0054,0.0763,0.8
clinical+cyto+omics_infold_vs_precomp,8,5,-0.0037,0.0049,-0.0112,0.0025,0.2
clinical+cyto+omics_infold_vs_precomp,16,5,-0.0019,0.0013,-0.0036,-0.0003,0.0
clinical+cyto+omics_infold_vs_precomp,32,5,0.003,0.0071,-0.0059,0.012,0.6
clinical+cyto+omics_infold_vs_precomp,64,5,0.0223,0.0168,-0.0047,0.0401,0.8
