k,fold,n_train,n_test,n_topvar,n_components,gene_select_fit_on,scaler_fit_on,pca_fit_on,test_rows_in_fit,train_test_patient_overlap
8,0,544,182,2000,8,train_only,train_only,train_only,0,0
8,1,544,182,2000,8,train_only,train_only,train_only,0,0
8,2,544,182,2000,8,train_only,train_only,train_only,0,0
8,3,544,182,2000,8,train_only,train_only,train_only,0,0
8,4,544,182,2000,8,train_only,train_only,train_only,0,0
16,0,544,182,2000,16,train_only,train_only,train_only,0,0
16,1,544,182,2000,16,train_only,train_only,train_only,0,0
16,2,544,182,2000,16,train_only,train_only,train_only,0,0
16,3,544,182,2000,16,train_only,train_only,train_only,0,0
16,4,544,182,2000,16,train_only,train_only,train_only,0,0
32,0,544,182,2000,32,train_only,train_only,train_only,0,0
32,1,544,182,2000,32,train_only,train_only,train_only,0,0
32,2,544,182,2000,32,train_only,train_only,train_only,0,0
32,3,544,182,2000,32,train_only,train_only,train_only,0,0
32,4,544,182,2000,32,train_only,train_only,train_only,0,0
64,0,544,182,2000,64,train_only,train_only,train_only,0,0
64,1,544,182,2000,64,train_only,train_only,train_only,0,0
64,2,544,182,2000,64,train_only,train_only,train_only,0,0
64,3,544,182,2000,64,train_only,train_only,train_only,0,0
64,4,544,182,2000,64,train_only,train_only,train_only,0,0
