fold,subtype,model,test_n,ibs,cindex
0,amp1q,independent_cox,67,0.1758,0.742
0,amp1q,pooled_cox,67,0.1748,0.753
0,amp1q,pooled_neural,67,0.1675,0.73
0,del1p,independent_cox,25,0.1295,0.42
0,del1p,pooled_cox,25,0.1355,0.52
0,del1p,pooled_neural,25,0.1423,0.48
0,del13q,independent_cox,94,0.1413,0.746
0,del13q,pooled_cox,94,0.1337,0.76
0,del13q,pooled_neural,94,0.1282,0.746
0,del17p,independent_cox,20,0.2226,0.684
0,del17p,pooled_cox,20,0.1474,0.842
0,del17p,pooled_neural,20,0.1498,0.832
0,hyperdiploid,independent_cox,114,0.151,0.657
0,hyperdiploid,pooled_cox,114,0.1377,0.704
0,hyperdiploid,pooled_neural,114,0.132,0.693
1,amp1q,independent_cox,58,0.1566,0.706
1,amp1q,pooled_cox,58,0.1721,0.696
1,amp1q,pooled_neural,58,0.1913,0.663
1,del1p,independent_cox,32,0.1527,0.761
1,del1p,pooled_cox,32,0.174,0.572
1,del1p,pooled_neural,32,0.1791,0.562
1,del13q,independent_cox,94,0.1865,0.647
1,del13q,pooled_cox,94,0.1825,0.659
1,del13q,pooled_neural,94,0.1998,0.644
1,del17p,independent_cox,19,0.2155,0.566
1,del17p,pooled_cox,19,0.2235,0.455
1,del17p,pooled_neural,19,0.2491,0.475
1,hyperdiploid,independent_cox,121,0.1408,0.693
1,hyperdiploid,pooled_cox,121,0.1344,0.73
1,hyperdiploid,pooled_neural,121,0.1505,0.667
2,amp1q,independent_cox,68,0.103,0.808
2,amp1q,pooled_cox,68,0.1052,0.824
2,amp1q,pooled_neural,68,0.1395,0.739
2,del1p,independent_cox,27,0.1687,0.658
2,del1p,pooled_cox,27,0.1778,0.749
2,del1p,pooled_neural,27,0.2086,0.733
2,del13q,independent_cox,92,0.1269,0.767
2,del13q,pooled_cox,92,0.1218,0.798
2,del13q,pooled_neural,92,0.148,0.739
2,del17p,independent_cox,33,0.2108,0.63
2,del17p,pooled_cox,33,0.1699,0.675
2,del17p,pooled_neural,33,0.1929,0.564
2,hyperdiploid,independent_cox,116,0.1057,0.773
2,hyperdiploid,pooled_cox,116,0.1053,0.777
2,hyperdiploid,pooled_neural,116,0.125,0.726
3,amp1q,independent_cox,76,0.1033,0.836
3,amp1q,pooled_cox,76,0.1038,0.865
3,amp1q,pooled_neural,76,0.1108,0.821
3,del1p,independent_cox,47,,0.537
3,del1p,pooled_cox,47,,0.656
3,del1p,pooled_neural,47,,0.618
3,del13q,independent_cox,98,0.161,0.748
3,del13q,pooled_cox,98,0.1379,0.792
3,del13q,pooled_neural,98,0.1804,0.769
3,del17p,independent_cox,29,0.111,0.726
3,del17p,pooled_cox,29,0.1203,0.778
3,del17p,pooled_neural,29,0.1747,0.681
3,hyperdiploid,independent_cox,108,0.1336,0.732
3,hyperdiploid,pooled_cox,108,0.135,0.731
3,hyperdiploid,pooled_neural,108,0.1403,0.702
4,amp1q,independent_cox,66,0.1604,0.693
4,amp1q,pooled_cox,66,0.16,0.709
4,amp1q,pooled_neural,66,0.1811,0.705
4,del1p,independent_cox,26,0.1702,0.757
4,del1p,pooled_cox,26,0.178,0.669
4,del1p,pooled_neural,26,0.1726,0.654
4,del13q,independent_cox,96,0.1465,0.74
4,del13q,pooled_cox,96,0.1388,0.759
4,del13q,pooled_neural,96,0.1485,0.749
4,del17p,independent_cox,16,0.0787,0.882
4,del17p,pooled_cox,16,0.091,0.882
4,del17p,pooled_neural,16,0.0771,0.824
4,hyperdiploid,independent_cox,108,0.1332,0.732
4,hyperdiploid,pooled_cox,108,0.129,0.759
4,hyperdiploid,pooled_neural,108,0.1428,0.723
